Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,54,30,A.E.K. F.C.,43,327,1/7.6,28,1845,1335,494,446,77,1,5,2015-2016
7,41,30,ASTERAS TRIPOLI F.C.,31,336,1/10.8,18,1863,1390,467,542,105,0,3,2015-2016
8,39,30,ATROMITOS F.C. ATHENS,26,301,1/11.6,21,1787,1384,470,422,78,1,4,2015-2016
14,27,30,VERIA F.C.,19,290,1/15.3,10,2071,1441,423,496,70,0,4,2015-2016
12,35,30,AEP IRAKLIS F.C.,24,232,1/9.7,16,1786,1471,446,543,91,1,4,2015-2016
16,16,30,A.E.L. KALLONI,19,277,1/14.6,8,1396,1346,475,480,81,2,9,2015-2016
10,37,30,LEVADIAKOS F.C.,27,222,1/8.2,12,1160,1319,433,424,93,0,3,2015-2016
1,85,30,OLYMPIACOS F.C.,81,440,1/5.4,45,2127,1372,400,442,57,1,3,2015-2016
2,55,30,PANATHINAIKOS F.C.,52,324,1/6.2,36,1975,1374,353,459,77,2,5,2015-2016
11,35,30,PANETOLIKOS F.C.,30,278,1/9.3,16,1426,1166,462,401,93,1,7,2015-2016
15,17,30,PANTHRAKIKOS F.C.,18,250,1/13.9,14,1725,1477,396,400,75,1,3,2015-2016
5,44,30,PANIONIOS F.C.,33,286,1/8.7,17,1680,1435,456,430,85,1,6,2015-2016
4,45,30,P.A.O.K. F.C.,45,352,1/7.8,29,2882,1504,433,476,79,2,5,2015-2016
6,42,30,PAS GIANNINA F.C.,36,290,1/8.1,21,1661,1285,411,476,88,1,5,2015-2016
9,39,30,PLATANIAS F.C.,32,311,1/9.7,23,1872,1393,432,451,66,0,2,2015-2016
13,33,30,SKODA XANTHI F.C.,27,245,1/9.1,17,2021,1390,425,459,82,0,2,2015-2016
