Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
17,36,34,APOLLON F.C.,43,297,1/6.9,27,1406,1346,517,616,101,1,6,2013-2014
18,22,34,ARIS F.C.,26,321,1/12.3,16,1565,1492,549,597,104,5,11,2013-2014
5,58,34,ASTERAS TRIPOLI F.C.,46,425,1/9.2,34,2124,1439,455,637,97,2,5,2013-2014
3,66,34,ATROMITOS F.C. ATHENS,54,386,1/7.1,37,1925,1533,554,451,80,1,2,2013-2014
15,38,34,VERIA F.C.,31,348,1/11.2,16,1736,1492,585,586,102,1,10,2013-2014
7,44,34,ERGOTELIS F.C.,39,334,1/8.6,22,1603,1533,567,594,106,2,10,2013-2014
12,39,34,A.E.L. KALLONI,31,297,1/9.6,20,1692,1588,510,540,91,2,7,2013-2014
8,42,34,LEVADIAKOS F.C.,42,268,1/6.4,28,1429,1475,506,566,84,4,5,2013-2014
1,86,34,OLYMPIACOS F.C.,88,496,1/5.6,60,2569,1549,532,413,38,1,1,2013-2014
6,44,34,O.F.I. F.C.,30,364,1/12.1,21,1994,1513,576,650,82,3,6,2013-2014
4,66,34,PANATHINAIKOS F.C.,57,423,1/7.4,39,2407,1708,413,611,95,2,6,2013-2014
9,42,34,PANETOLIKOS F.C.,32,390,1/12.2,17,1880,1411,485,585,89,2,5,2013-2014
10,41,34,PANTHRAKIKOS F.C.,39,298,1/7.6,20,1691,1535,548,464,96,2,6,2013-2014
13,39,34,PANIONIOS F.C.,33,279,1/8.5,15,1685,1528,649,481,93,0,4,2013-2014
2,69,34,P.A.O.K. F.C.,68,426,1/6.3,39,2407,1536,491,507,98,3,3,2013-2014
11,41,34,PAS GIANNINA F.C.,34,299,1/8.8,24,1592,1572,463,518,82,3,8,2013-2014
14,38,34,PLATANIAS F.C.,39,344,1/8.8,22,1624,1524,555,560,79,0,3,2013-2014
16,38,34,SKODA XANTHI F.C.,44,280,1/6.4,29,1859,1564,536,571,82,5,10,2013-2014
