Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
4,59,34,ASTERAS TRIPOLI F.C.,52,419,1/8.1,31,2017,1395,454,587,98,1,4,2014-2015
5,54,34,ATROMITOS F.C. ATHENS,43,314,1/7.3,25,1915,1485,474,431,76,2,2,2014-2015
13,43,34,VERIA F.C.,45,348,1/7.7,27,1990,1519,452,569,89,3,6,2014-2015
15,32,34,ERGOTELIS F.C.,35,336,1/9.6,18,1721,1539,486,504,91,2,5,2014-2015
10,44,34,A.E.L. KALLONI,34,281,1/8.3,15,1308,1392,528,480,86,0,7,2014-2015
18,44,34,A.O.K. F.C.,39,317,1/8.1,16,1650,1446,513,479,87,1,4,2014-2015
14,43,34,LEVADIAKOS F.C.,41,353,1/8.6,24,1456,1378,524,483,81,4,6,2014-2015
,,,,,,,,,,,,,,,2014-2015
1,78,34,OLYMPIACOS F.C.,79,549,1/6.9,42,2480,1455,502,361,49,0,0,2014-2015
16,-6,33,O.F.I. F.C.,26,209,1/8.0,10,1139,1161,366,392,76,3,8,2014-2015
2,66,34,PANATHINAIKOS F.C.,59,414,1/7.0,35,2501,1641,380,535,95,0,2,2014-2015
7,52,34,PANETOLIKOS F.C.,41,335,1/8.2,24,1559,1421,389,586,106,1,3,2014-2015
11,43,34,PANTHRAKIKOS F.C.,35,310,1/8.9,18,1712,1538,531,456,79,2,4,2014-2015
12,43,34,PANIONIOS F.C.,43,363,1/8.4,20,1704,1579,528,442,89,1,5,2014-2015
3,65,34,P.A.O.K. F.C.,57,380,1/6.7,36,2099,1417,446,529,99,3,8,2014-2015
6,53,34,PAS GIANNINA F.C.,47,312,1/6.6,31,1717,1464,397,458,76,0,6,2014-2015
9,44,34,PLATANIAS F.C.,32,339,1/10.6,17,1617,1537,438,439,78,1,4,2014-2015
8,47,34,SKODA XANTHI F.C.,44,300,1/6.8,29,2191,1505,507,566,104,1,4,2014-2015
