Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
2,68,30,A.E.K. F.C.,65,425,1/6.5,35,1611,1237,559,653,83,3,4,2007-2008
16,22,30,APOLLON KALAMARIA,28,345,1/12.3,19,911,916,571,651,105,2,5,2007-2008
4,50,30,ARIS F.C.,33,337,1/10.2,15,1342,1042,601,537,76,1,5,2007-2008
7,44,30,ASTERAS TRIPOLIS F.C.,28,282,1/10.1,22,1208,1089,646,711,106,0,7,2007-2008
14,29,30,ATROMITOS F.C. ATHENS,23,305,1/13.3,14,1541,1417,568,661,109,3,8,2007-2008
15,23,30,VERIA,21,269,1/12.8,16,1053,914,571,574,85,3,7,2007-2008
13,30,30,ERGOTELIS F.C.,28,350,1/12.5,15,1255,1261,660,550,76,2,3,2007-2008
10,35,30,IRAKLIS F.C.,28,269,1/9.6,16,1019,1076,632,608,103,1,2,2007-2008
6,45,30,A.E.L. F.C.,35,363,1/10.4,18,1301,1043,585,659,100,4,7,2007-2008
11,33,30,LEVADIAKOS F.C.,31,311,1/10.0,15,1136,1186,625,562,76,3,6,2007-2008
1,70,30,OLYMPIACOS F.C.,55,442,1/8.0,31,1799,1210,532,532,67,0,6,2007-2008
12,32,30,O.F.I. F.C.,39,346,1/8.9,24,1379,1289,516,708,97,4,6,2007-2008
9,35,30,P.A.O.K. F.C.,29,305,1/10.5,16,1373,1037,575,619,78,0,2,2007-2008
3,66,30,PANATHINAIKOS F.C.,44,486,1/11.0,22,1692,1219,622,591,66,0,1,2007-2008
5,45,30,PANIONIOS F.C.,39,354,1/9.1,22,1566,1286,571,589,86,2,5,2007-2008
8,36,30,SKODA XANTHI F.C.,33,305,1/9.2,24,963,940,563,598,74,1,4,2007-2008
