Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
1,70,30,A.E.K. F.C.,50,385,1/7.7,28,1783,1118,464,501,72,3,3,2017-2018
12,31,30,A.E.L. F.C.,22,232,1/10.5,17,1108,1133,470,492,103,1,2,2017-2018
14,29,30,APOLLON SMYRNI,23,209,1/9.1,10,1286,1235,458,432,88,0,5,2017-2018
5,45,30,ASTERAS TRIPOLI F.C.,39,305,1/7.8,26,1659,1267,387,509,85,0,4,2017-2018
4,56,30,ATROMITOS F.C. ATHENS,43,330,1/7.7,31,1688,1315,507,469,80,0,1,2017-2018
15,22,30,A.O.K. F.C.,19,227,1/11.9,7,1051,1164,440,464,86,1,6,2017-2018
13,30,30,PAS LAMIA 1964 F.C.,20,218,1/10.9,7,1392,1326,504,499,91,2,6,2017-2018
10,34,30,LEVADIAKOS F.C.,23,255,1/11.1,17,1182,1133,444,452,83,1,4,2017-2018
6,45,30,XANTHI F.C.,31,222,1/7.2,18,1152,1122,429,495,83,1,3,2017-2018
3,57,30,OLYMPIACOS F.C.,63,376,1/6.0,37,2035,1289,429,480,75,1,3,2017-2018
11,32,30,PANATHINAIKOS F.C.,30,301,1/10.0,16,1953,1392,480,491,89,2,8,2017-2018
8,35,30,PANETOLIKOS F.C.,31,244,1/7.9,13,1552,1253,496,463,105,1,5,2017-2018
7,40,30,PANIONIOS F.C.,32,268,1/8.4,20,1625,1410,484,399,69,1,4,2017-2018
2,64,30,P.A.O.K. F.C.,59,364,1/6.2,37,1616,1036,371,444,65,3,4,2017-2018
9,34,30,PAS GIANNINA 1966 F.C.,31,276,1/8.9,23,1134,1100,433,495,76,1,2,2017-2018
16,10,30,PLATANIAS F.C.,14,216,1/15.4,7,1268,1097,419,505,80,1,6,2017-2018
