Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
5,48,30,A.E.K. F.C.,36,333,1/9.3,23,2049,1536,447,519,108,0,4,2011-2012
9,37,30,ARIS F.C.,29,282,1/9.7,17,1867,1554,513,440,90,3,8,2011-2012
6,45,30,ASTERAS TRIPOLIS F.C.,28,336,1/12.0,19,1855,1563,439,489,88,0,2,2011-2012
4,50,30,ATROMITOS F.C. ATHENS,32,244,1/7.6,17,1954,1540,493,441,89,1,2,2011-2012
16,17,30,DOXA DRAMAS F.C.,11,190,1/17.3,2,1429,1685,454,594,82,1,3,2011-2012
14,29,30,ERGOTELIS F.C.,27,317,1/11.7,14,1977,1657,484,643,102,2,10,2011-2012
13,32,30,KERKYRA F.C.,31,278,1/9.0,12,1965,1470,473,519,80,0,3,2011-2012
7,39,30,LEVADIAKOS F.C.,33,288,1/8.7,21,1571,1521,530,452,95,2,4,2011-2012
1,73,30,OLYMPIACOS F.C.,68,431,1/6.3,42,2342,1498,472,475,60,0,1,2011-2012
10,37,30,O.F.I. F.C.,27,249,1/9.2,15,1858,1683,494,508,92,1,4,2011-2012
2,66,30,PANATHINAIKOS F.C.,54,341,1/6.3,24,2402,1633,493,446,79,2,3,2011-2012
15,28,30,PANETOLIKOS F.C.,23,286,1/12.4,12,2025,1548,511,407,82,4,9,2011-2012
12,33,30,PANIONIOS F.C.,26,286,1/11.0,16,1939,1628,477,508,80,3,4,2011-2012
3,50,30,P.A.O.K. F.C.,45,355,1/7.9,27,2726,1488,405,460,72,2,3,2011-2012
8,38,30,PAS GIANNINA F.C.,30,259,1/8.6,10,2117,1591,476,534,99,0,2,2011-2012
11,36,30,SKODA XANTHI F.C.,31,305,1/9.8,15,1732,1452,469,523,95,4,8,2011-2012
