Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
4,53,30,A.E.K. F.C.,54,366,1/6.8,28,1922,1279,423,480,70,2,6,2016-2017
13,28,30,A.E.L. F.C.,23,267,1/11.6,15,1548,1436,492,498,81,3,5,2016-2017
12,28,30,ASTERAS TRIPOLI F.C.,34,347,1/10.2,14,1781,1425,459,511,88,1,5,2016-2017
8,39,30,ATROMITOS F.C. ATHENS,29,235,1/8.1,19,1715,1397,450,430,68,0,3,2016-2017
16,22,30,VERIA F.C.,23,240,1/10.4,14,1684,1406,465,436,68,1,3,2016-2017
15,29,30,AEP IRAKLIS F.C.,28,252,1/9.0,18,1258,1285,481,467,88,2,7,2016-2017
10,32,30,A.O.K. F.C.,22,249,1/11.3,16,1297,1317,449,441,78,1,3,2016-2017
14,26,30,LEVADIAKOS F.C.,27,249,1/9.2,14,1303,1342,441,490,86,1,5,2016-2017
6,48,30,XANTHI F.C.,34,205,1/6.0,16,1652,1437,367,496,91,2,8,2016-2017
1,67,30,OLYMPIACOS F.C.,57,404,1/7.1,36,2106,1405,396,444,63,1,3,2016-2017
3,57,30,PANATHINAIKOS F.C.,45,363,1/8.1,24,2201,1471,422,515,80,1,1,2016-2017
11,31,30,PANETOLIKOS F.C.,29,302,1/10.4,17,1467,1283,496,464,79,0,1,2016-2017
5,52,30,PANIONIOS F.C.,35,289,1/8.3,17,1538,1444,502,440,76,2,5,2016-2017
2,61,30,P.A.O.K. F.C.,52,422,1/8.1,32,2255,1318,438,473,70,3,4,2016-2017
9,36,30,PAS GIANNINA 1966 F.C.,30,252,1/8.4,20,1423,1284,435,498,73,1,3,2016-2017
7,42,30,PLATANIAS F.C.,34,251,1/7.4,22,1579,1275,509,551,82,1,3,2016-2017
