Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
15,27,30,A.E.K. F.C.,21,239,1/11.4,11,1684,1434,421,544,99,1,7,2012-2013
13,33,30,ARIS F.C.,32,275,1/8.6,19,1399,1536,509,509,113,3,13,2012-2013
3,56,30,ASTERAS TRIPOLI F.C.,41,331,1/8.1,29,2109,1558,388,525,89,0,6,2012-2013
4,46,30,ATROMITOS F.C. ATHENS,26,296,1/11.4,15,1805,1503,486,487,83,0,1,2012-2013
12,33,30,VERIA F.C.,30,282,1/9.4,20,1863,1384,455,495,91,5,12,2012-2013
16,20,30,KERKYRA F.C.,16,213,1/13.3,8,1249,1429,494,504,90,2,6,2012-2013
11,34,30,LEVADIAKOS F.C.,21,280,1/13.3,14,1803,1556,515,422,77,1,2,2012-2013
1,77,30,OLYMPIACOS F.C.,64,456,1/7.1,42,2640,1502,462,394,29,0,0,2012-2013
14,32,30,O.F.I. F.C.,33,252,1/7.6,28,1858,1696,476,472,95,0,7,2012-2013
6,40,31,PANATHINAIKOS F.C.,35,350,1/10.0,17,2220,1654,467,496,79,2,5,2012-2013
10,36,30,PANTHRAKIKOS F.C.,30,303,1/10.1,16,1712,1535,440,444,68,2,4,2012-2013
8,36,30,PANIONIOS F.C.,35,274,1/7.8,15,1589,1553,446,520,92,3,6,2012-2013
2,62,30,P.A.O.K. F.C.,46,322,1/7.0,26,2334,1396,406,457,85,7,10,2012-2013
5,44,30,PAS GIANNINA F.C.,28,284,1/10.1,16,1706,1685,458,490,85,0,2,2012-2013
9,36,30,PLATANIAS F.C.,29,286,1/9.9,16,1938,1645,508,462,81,1,2,2012-2013
7,40,31,SKODA XANTHI F.C.,28,259,1/9.3,16,1864,1619,450,512,92,3,6,2012-2013
