Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,50,30,A.E.K. F.C.,46,345,1/7.5,26,1916,1361,459,594,98,3,6,2010-2011
6,45,30,ARIS F.C.,29,241,1/8.3,14,1752,1322,631,480,80,3,4,2010-2011
13,31,30,ASTERAS TRIPOLIS F.C.,21,295,1/14.0,9,1546,1322,549,555,95,2,6,2010-2011
11,34,30,ATROMITOS F.C. ATHENS,30,306,1/10.2,18,1999,1433,489,438,78,2,6,2010-2011
8,39,30,ERGOTELIS F.C.,32,329,1/10.3,15,1928,1275,613,573,85,1,5,2010-2011
16,35,30,IRAKLIS F.C.,22,246,1/11.2,11,1894,1223,540,624,95,4,7,2010-2011
7,40,30,KAVALA F.C.,29,268,1/9.2,21,2101,1369,475,556,96,3,8,2010-2011
12,33,30,KERKYRA F.C.,30,217,1/7.2,18,1782,1217,476,478,66,1,5,2010-2011
14,25,30,A.E.L. F.C.,29,298,1/10.3,13,2127,1260,478,568,94,5,9,2010-2011
1,73,30,OLYMPIACOS F.C.,65,450,1/6.9,39,2198,1378,502,483,54,4,4,2010-2011
5,47,30,OLYMPIAKOS VOLOS F.C.,40,315,1/7.9,24,1462,1090,475,598,88,5,6,2010-2011
2,60,30,PANATHINAIKOS F.C.,47,345,1/7.3,27,2216,1468,465,492,72,2,4,2010-2011
10,35,30,PANIONIOS F.C.,25,278,1/11.1,11,1914,1348,551,516,92,1,4,2010-2011
15,24,30,PANSERRAIKOS F.C.,22,238,1/10.8,10,1836,1201,450,648,90,0,4,2010-2011
4,48,30,P.A.O.K. F.C.,32,297,1/9.3,22,2367,1279,570,523,83,2,6,2010-2011
9,36,30,SKODA XANTHI F.C.,29,249,1/8.6,10,1769,1131,547,524,96,0,5,2010-2011
