Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
2,62,30,A.E.K. F.C.,60,490,1/8.2,45,1714,1168,542,584,78,1,2,2006-2007
15,28,30,EGALEO F.C.,27,341,1/12.6,12,1241,1146,574,627,80,0,0,2006-2007
12,35,29,APOLLON KALAMARIA,25,309,1/12.4,19,940,854,568,637,98,2,4,2006-2007
4,46,30,ARIS F.C.,32,341,1/10.7,20,1254,1172,651,558,90,1,4,2006-2007
8,40,30,ATROMITOS F.C. ATHENS,40,334,1/8.4,25,1541,1147,588,691,98,1,6,2006-2007
9,39,30,ERGOTELIS F.C.,30,368,1/12.3,20,1548,1283,701,646,87,0,8,2006-2007
13,35,30,IRAKLIS F.C.,24,283,1/11.8,17,1235,1179,591,572,75,3,6,2006-2007
16,4,30,IONIKOS,16,309,1/19.3,8,1207,1148,510,680,77,3,6,2006-2007
14,35,30,KERKYRA F.C.,34,342,1/10.1,18,1214,1149,712,637,103,1,10,2006-2007
10,36,30,A.E.L. F.C.,30,321,1/10.7,21,1242,1002,534,636,83,1,2,2006-2007
1,71,30,OLYMPIACOS F.C.,62,481,1/7.8,38,1901,1303,520,446,51,2,5,2006-2007
7,42,30,O.F.I. F.C.,41,306,1/7.5,24,1775,1405,597,717,98,2,8,2006-2007
6,45,30,P.A.O.K. F.C.,32,328,1/10.3,21,1240,973,592,629,98,1,5,2006-2007
3,54,29,PANATHINAIKOS F.C.,44,416,1/9.5,26,1542,1224,543,541,74,2,3,2006-2007
5,45,30,PANIONIOS F.C.,33,392,1/11.9,17,1528,1207,562,581,63,0,0,2006-2007
11,36,30,SKODA XANTHI F.C.,24,321,1/13.4,15,1458,1026,538,536,82,1,5,2006-2007
