Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
4,53,30,A.E.K. F.C.,43,392,1/9.1,25,1860,1343,463,535,79,0,2,2009-2010
5,46,30,ARIS F.C.,35,305,1/8.7,22,1575,1121,501,489,89,2,4,2009-2010
12,36,30,ASTERAS TRIPOLIS F.C.,29,266,1/9.2,20,1300,1286,553,548,88,1,7,2009-2010
7,38,30,ATROMITOS F.C. ATHENS,34,355,1/10.4,17,1812,1309,463,495,83,1,5,2009-2010
11,36,30,ERGOTELIS F.C.,37,317,1/8.6,24,1574,1152,589,585,97,0,3,2009-2010
10,37,30,IRAKLIS F.C.,39,258,1/6.6,17,1112,1086,515,536,101,1,7,2009-2010
8,37,30,A.E.L. F.C.,31,302,1/9.7,16,1571,1114,503,525,90,2,5,2009-2010
14,34,30,LEVADIAKOS F.C.,31,308,1/9.9,20,1347,1214,489,517,81,0,1,2009-2010
6,39,30,NEA KAVALA F.C.,31,233,1/7.5,14,1268,1098,488,595,99,3,9,2009-2010
2,64,30,OLYMPIACOS S.F.P.,47,363,1/7.7,32,2020,1309,538,528,79,1,2,2009-2010
1,70,30,PANATHINAIKOS F.C.,54,456,1/8.4,35,1866,1157,495,508,64,0,0,2009-2010
16,12,30,PANTHRAKIKOS F.C.,21,279,1/13.3,9,1232,1067,482,575,74,1,7,2009-2010
9,37,30,PANIONIOS F.C.,34,343,1/10.1,28,1463,1259,551,520,90,2,8,2009-2010
3,62,30,P.A.O.K. F.C.,41,297,1/7.2,28,1490,1095,502,586,89,2,9,2009-2010
15,28,30,PAS GIANNINA F.C.,27,299,1/11.1,13,1321,1107,606,493,91,1,4,2009-2010
13,35,30,SKODA XANTHI F.C.,27,241,1/8.9,15,1273,990,493,570,99,1,7,2009-2010
