Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
3,46,26,A.E.K. F.C.,42,325,1/7.7,28,1378,998,355,452,63,2,4,2021-2022
14,13,26,APOLLON SMYRNI,9,176,1/19.6,5,964,1078,408,485,77,5,8,2021-2022
4,45,26,ARIS F.C.,28,303,1/10.8,17,1655,1184,453,423,53,1,1,2021-2022
8,35,26,ASTERAS TRIPOLI F.C.,27,246,1/9.1,19,1486,928,353,437,68,3,4,2021-2022
12,23,26,ATROMITOS F.C. ATHENS,27,228,1/8.4,11,1257,1121,407,410,54,1,3,2021-2022
10,30,26,VOLOS N.F.C.,35,273,1/7.8,18,1136,889,422,432,76,2,5,2021-2022
11,26,26,IONIKOS F.C.,26,208,1/8.0,17,1060,1057,397,441,70,1,4,2021-2022
13,18,26,PAS LAMIA 1964 F.C.,19,204,1/10.7,9,940,1031,434,424,56,1,1,2021-2022
1,65,26,OLYMPIACOS F.C.,47,308,1/6.6,25,1588,985,353,378,33,0,0,2021-2022
7,37,26,O.F.I. F.C.,33,276,1/8.4,9,1237,1096,357,470,77,1,3,2021-2022
5,42,26,PANATHINAIKOS F.C.,41,249,1/6.1,21,1432,1064,468,378,50,1,2,2021-2022
9,32,26,PANETOLIKOS F.C,27,220,1/8.1,15,1090,982,448,420,58,0,0,2021-2022
2,53,26,P.A.O.K. F.C.,50,297,1/5.9,28,1756,1072,403,369,62,1,1,2021-2022
6,40,26,PAS GIANNINA,28,199,1/7.1,13,1124,1047,406,391,54,0,0,2021-2022
